Entry	Status	Protein names	Organism	Length	Gene names  (ordered locus )	Gene names  (primary )	Cross-reference (KEGG)	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
Q6BZ24	unreviewed	DEHA2A05148p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	385	DEHA2A05148g		dha:DEHA2A05148g;	metal ion binding [GO:0046872]			metal ion binding [GO:0046872]
Q6BQD0	unreviewed	DEHA2E06138p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	390	DEHA2E06138g		dha:DEHA2E06138g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BVM3	unreviewed	DEHA2C01474p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	205	DEHA2C01474g		dha:DEHA2C01474g;	integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; mitochondrial cytochrome c oxidase assembly [GO:0033617]	mitochondrial cytochrome c oxidase assembly [GO:0033617]	integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]	
Q6BRB0	unreviewed	Fructose-bisphosphate aldolase (FBP aldolase) (EC 4.1.2.13)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	360	DEHA2D17798g		dha:DEHA2D17798g;	cytosol [GO:0005829]; mitochondrion [GO:0005739]; fructose-bisphosphate aldolase activity [GO:0004332]; melatonin binding [GO:1904408]; zinc ion binding [GO:0008270]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	cytosol [GO:0005829]; mitochondrion [GO:0005739]	fructose-bisphosphate aldolase activity [GO:0004332]; melatonin binding [GO:1904408]; zinc ion binding [GO:0008270]
Q6BHG9	unreviewed	DEHA2G18678p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	445	DEHA2G18678g		dha:DEHA2G18678g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BTG4	unreviewed	DEHA2D00836p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	55	DEHA2D00836g		dha:DEHA2D00836g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BZ87	unreviewed	DEHA2A03190p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	731	DEHA2A03190g		dha:DEHA2A03190g;	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; transferase activity, transferring glycosyl groups [GO:0016757]; protein glycosylation [GO:0006486]	protein glycosylation [GO:0006486]	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	transferase activity, transferring glycosyl groups [GO:0016757]
Q6BXS8	unreviewed	DEHA2B00550p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	520	DEHA2B00550g		dha:DEHA2B00550g;				
Q6BUH7	unreviewed	DEHA2C10560p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	708	DEHA2C10560g		dha:DEHA2C10560g;				
Q6BYQ8	unreviewed	Prolyl-tRNA synthetase (EC 6.1.1.15)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	576	DEHA2A07678g		dha:DEHA2A07678g;	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]; prolyl-tRNA aminoacylation [GO:0006433]	prolyl-tRNA aminoacylation [GO:0006433]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]
Q6BGR6	unreviewed	DEHA2G24464p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1084	DEHA2G24464g		dha:DEHA2G24464g;	RNA binding [GO:0003723]			RNA binding [GO:0003723]
B5RU19	unreviewed	DEHA2E15466p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1057	DEHA2E15466g		dha:DEHA2E15466g;	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]
Q6BZB2	unreviewed	DEHA2A02706p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1316	DEHA2A02706g		dha:DEHA2A02706g;	hydrolase activity [GO:0016787]			hydrolase activity [GO:0016787]
Q6BLA5	unreviewed	DEHA2F15092p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	666	DEHA2F15092g		dha:DEHA2F15092g;				
B5RTH7	unreviewed	DEHA2D12650p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	633	DEHA2D12650g		dha:DEHA2D12650g;	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]			ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
Q6BJK7	unreviewed	Seryl-tRNA synthetase (EC 6.1.1.11) (Seryl-tRNA(Ser/Sec) synthetase)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	460	DEHA2G01694g		dha:DEHA2G01694g;	ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]; seryl-tRNA aminoacylation [GO:0006434]	selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]; seryl-tRNA aminoacylation [GO:0006434]		ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]
Q6BX66	unreviewed	DEHA2B05588p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	364	DEHA2B05588g		dha:DEHA2B05588g;	RNA polymerase I complex [GO:0005736]; RNA polymerase I activity [GO:0001054]; nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]	nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]	RNA polymerase I complex [GO:0005736]	RNA polymerase I activity [GO:0001054]
Q6BZF4	unreviewed	DEHA2A01760p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	508	DEHA2A01760g		dha:DEHA2A01760g;				
B5RT09	unreviewed	DEHA2B11110p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	847	DEHA2B11110g		dha:DEHA2B11110g;				
Q6BQ50	unreviewed	DEHA2E08338p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	145	DEHA2E08338g		dha:DEHA2E08338g;	small ribosomal subunit [GO:0015935]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	small ribosomal subunit [GO:0015935]	structural constituent of ribosome [GO:0003735]
B5RT95	unreviewed	DEHA2C10450p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	534	DEHA2C10450g		dha:DEHA2C10450g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BTU1	unreviewed	DEHA2C15906p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	758	DEHA2C15906g		dha:DEHA2C15906g;	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]
Q6BWB4	unreviewed	DEHA2B12892p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	596	DEHA2B12892g		dha:DEHA2B12892g;	ATP binding [GO:0005524]; glycerone kinase activity [GO:0004371]; triokinase activity [GO:0050354]; anaerobic glycerol catabolic process [GO:0019588]	anaerobic glycerol catabolic process [GO:0019588]		ATP binding [GO:0005524]; glycerone kinase activity [GO:0004371]; triokinase activity [GO:0050354]
Q6BLU7	unreviewed	Catalase (EC 1.11.1.6)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	485	DEHA2F10582g		dha:DEHA2F10582g;	mitochondrial matrix [GO:0005759]; peroxisomal matrix [GO:0005782]; catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; age-dependent response to reactive oxygen species [GO:0001315]; hydrogen peroxide catabolic process [GO:0042744]	age-dependent response to reactive oxygen species [GO:0001315]; hydrogen peroxide catabolic process [GO:0042744]	mitochondrial matrix [GO:0005759]; peroxisomal matrix [GO:0005782]	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
B5RTR7	unreviewed	DEHA2D05830p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	43	DEHA2D05830g		dha:DEHA2D05830g;				
Q6BKK0	unreviewed	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1046	DEHA2F21208g	NAT10	dha:DEHA2F21208g;	nucleolus [GO:0005730]; ATP binding [GO:0005524]; N-acetyltransferase activity [GO:0008080]; ribosomal small subunit biogenesis [GO:0042274]; rRNA modification [GO:0000154]; tRNA acetylation [GO:0051391]	ribosomal small subunit biogenesis [GO:0042274]; rRNA modification [GO:0000154]; tRNA acetylation [GO:0051391]	nucleolus [GO:0005730]	ATP binding [GO:0005524]; N-acetyltransferase activity [GO:0008080]
Q6BY54	unreviewed	DEHA2A12298p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1026	DEHA2A12298g		dha:DEHA2A12298g;	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
Q6BTK0	unreviewed	DEHA2C17842p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	153	DEHA2C17842g		dha:DEHA2C17842g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BMJ5	unreviewed	DEHA2F04906p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	310	DEHA2F04906g		dha:DEHA2F04906g;				
Q6BPB0	unreviewed	DEHA2E15070p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	628	DEHA2E15070g		dha:DEHA2E15070g;	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]		integral component of membrane [GO:0016021]	transmembrane transporter activity [GO:0022857]
Q6BHF3	unreviewed	DEHA2G19052p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	72	DEHA2G19052g		dha:DEHA2G19052g;	RNA polymerase I complex [GO:0005736]; RNA polymerase II, core complex [GO:0005665]; RNA polymerase III complex [GO:0005666]; DNA binding [GO:0003677]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; RNA-directed 5'-3' RNA polymerase activity [GO:0003968]; zinc ion binding [GO:0008270]; tRNA transcription by RNA polymerase III [GO:0042797]	tRNA transcription by RNA polymerase III [GO:0042797]	RNA polymerase I complex [GO:0005736]; RNA polymerase II, core complex [GO:0005665]; RNA polymerase III complex [GO:0005666]	DNA binding [GO:0003677]; RNA-directed 5'-3' RNA polymerase activity [GO:0003968]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; zinc ion binding [GO:0008270]
Q6BWR9	unreviewed	DEHA2B09196p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	170	DEHA2B09196g		dha:DEHA2B09196g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BYR1	unreviewed	DEHA2A07612p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	515	DEHA2A07612g		dha:DEHA2A07612g;	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]			metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]
Q6BPY8	unreviewed	DEHA2E09790p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	168	DEHA2E09790g		dha:DEHA2E09790g;				
Q6BWA9	unreviewed	Repressor of RNA polymerase III transcription MAF1	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	399	DEHA2B13002g		dha:DEHA2B13002g;	nucleus [GO:0005634]; negative regulation of transcription by RNA polymerase III [GO:0016480]	negative regulation of transcription by RNA polymerase III [GO:0016480]	nucleus [GO:0005634]	
Q6BQ25	unreviewed	DEHA2E08910p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	279	DEHA2E08910g		dha:DEHA2E08910g;	oxidoreductase activity [GO:0016491]			oxidoreductase activity [GO:0016491]
B5RUJ1	unreviewed	Beta-hexosaminidase (EC 3.2.1.52)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	579	DEHA2F18920g		dha:DEHA2F18920g;	beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]		beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]
Q6BXZ4	unreviewed	DEHA2A13706p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	482	DEHA2A13706g		dha:DEHA2A13706g;	integral component of membrane [GO:0016021]; antiporter activity [GO:0015297]; xenobiotic transmembrane transporter activity [GO:0042910]		integral component of membrane [GO:0016021]	antiporter activity [GO:0015297]; xenobiotic transmembrane transporter activity [GO:0042910]
Q6BSW4	unreviewed	DEHA2D05478p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	429	DEHA2D05478g		dha:DEHA2D05478g;	cytoplasm [GO:0005737]; nucleus [GO:0005634]; GTPase regulator activity [GO:0030695]		cytoplasm [GO:0005737]; nucleus [GO:0005634]	GTPase regulator activity [GO:0030695]
B5RUI8	unreviewed	DEHA2F17600p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	648	DEHA2F17600g		dha:DEHA2F17600g;				
B5RUV6	unreviewed	DEHA2G19426p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	632	DEHA2G19426g		dha:DEHA2G19426g;				
Q6BZF7	unreviewed	DEHA2A01694p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	228	DEHA2A01694g		dha:DEHA2A01694g;				
B5RSZ5	unreviewed	Ribonuclease H (EC 3.1.26.4)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1496	DEHA2B12787g		dha:DEHA2B12787g;	cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA-directed DNA polymerase activity [GO:0003887]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]; transposition [GO:0032196]	DNA integration [GO:0015074]; transposition [GO:0032196]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	DNA-directed DNA polymerase activity [GO:0003887]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; zinc ion binding [GO:0008270]
Q6BK40	unreviewed	Rab GDP dissociation inhibitor	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	448	DEHA2F25102g		dha:DEHA2F25102g;	Rab GDP-dissociation inhibitor activity [GO:0005093]; protein transport [GO:0015031]; small GTPase mediated signal transduction [GO:0007264]; vesicle-mediated transport [GO:0016192]	protein transport [GO:0015031]; small GTPase mediated signal transduction [GO:0007264]; vesicle-mediated transport [GO:0016192]		Rab GDP-dissociation inhibitor activity [GO:0005093]
B5RUG4	unreviewed	DEHA2F14080p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	562	DEHA2F14080g		dha:DEHA2F14080g;				
B5RTZ7	unreviewed	DEHA2E12430p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	985	DEHA2E12430g		dha:DEHA2E12430g;	cytoplasm [GO:0005737]; polysome [GO:0005844]; ATP binding [GO:0005524]; ribosomal small subunit binding [GO:0043024]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; zinc ion binding [GO:0008270]; DNA recombination [GO:0006310]; intracellular mRNA localization [GO:0008298]; nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay [GO:0070478]; protein ubiquitination [GO:0016567]; regulation of translational termination [GO:0006449]; silent mating-type cassette heterochromatin assembly [GO:0030466]	DNA recombination [GO:0006310]; intracellular mRNA localization [GO:0008298]; nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay [GO:0070478]; protein ubiquitination [GO:0016567]; regulation of translational termination [GO:0006449]; silent mating-type cassette heterochromatin assembly [GO:0030466]	cytoplasm [GO:0005737]; polysome [GO:0005844]	ATP binding [GO:0005524]; ribosomal small subunit binding [GO:0043024]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; zinc ion binding [GO:0008270]
Q6BKM2	unreviewed	DEHA2F20724p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	213	DEHA2F20724g		dha:DEHA2F20724g;	nucleus [GO:0005634]		nucleus [GO:0005634]	
Q6BKW9	unreviewed	DEHA2F18260p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	103	DEHA2F18260g		dha:DEHA2F18260g;				
Q6BRK3	unreviewed	DEHA2D15708p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	418	DEHA2D15708g		dha:DEHA2D15708g;	membrane [GO:0016020]; mannosyltransferase activity [GO:0000030]; protein glycosylation [GO:0006486]	protein glycosylation [GO:0006486]	membrane [GO:0016020]	mannosyltransferase activity [GO:0000030]
Q6BNB3	unreviewed	DEHA2E23188p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	233	DEHA2E23188g		dha:DEHA2E23188g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BWD6	unreviewed	DEHA2B12166p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	611	DEHA2B12166g		dha:DEHA2B12166g;	ribonuclease III activity [GO:0004525]; RNA binding [GO:0003723]; RNA processing [GO:0006396]	RNA processing [GO:0006396]		ribonuclease III activity [GO:0004525]; RNA binding [GO:0003723]
Q6BKA4	unreviewed	DEHA2F23562p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	289	DEHA2F23562g		dha:DEHA2F23562g;	FMN binding [GO:0010181]			FMN binding [GO:0010181]
Q6BMH1	unreviewed	DEHA2F05478p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	596	DEHA2F05478g		dha:DEHA2F05478g;				
